provincia_iso,sexo,grupo_edad,fecha,num_hosp,num_uci,num_def
H,M,30-39,2022-03-28,0,0,0
H,M,40-49,2022-03-28,0,0,0
H,M,50-59,2022-03-28,0,0,0
H,M,60-69,2022-03-28,0,0,0
H,M,70-79,2022-03-28,0,0,0
H,M,80+,2022-03-28,3,0,0
H,M,NC,2022-03-28,0,0,0
H,NC,0-9,2022-03-28,0,0,0
H,NC,10-19,2022-03-28,0,0,0
H,NC,20-29,2022-03-28,0,0,0
H,NC,30-39,2022-03-28,0,0,0
H,NC,40-49,2022-03-28,0,0,0
H,NC,50-59,2022-03-28,0,0,0
H,NC,60-69,2022-03-28,0,0,0
H,NC,70-79,2022-03-28,0,0,0
H,NC,80+,2022-03-28,0,0,0
H,NC,NC,2022-03-28,0,0,0
HU,H,0-9,2022-03-28,0,0,0
HU,H,10-19,2022-03-28,0,0,0
