provincia_iso,sexo,grupo_edad,fecha,num_casos,num_hosp,num_uci,num_def
GR,NC,80+,2020-01-01,0,0,0,0
GU,H,60-69,2020-01-01,0,0,0,0
GU,H,70-79,2020-01-01,0,0,0,0
GU,H,80+,2020-01-01,0,0,0,0
GU,M,60-69,2020-01-01,0,0,0,0
GU,M,70-79,2020-01-01,0,0,0,0
GU,M,80+,2020-01-01,0,0,0,0
GU,NC,60-69,2020-01-01,0,0,0,0
GU,NC,70-79,2020-01-01,0,0,0,0
GU,NC,80+,2020-01-01,0,0,0,0
H,H,60-69,2020-01-01,0,0,0,0
H,H,70-79,2020-01-01,0,0,0,0
H,H,80+,2020-01-01,0,0,0,0
H,M,60-69,2020-01-01,0,0,0,0
H,M,70-79,2020-01-01,0,0,0,0
H,M,80+,2020-01-01,0,0,0,0
H,NC,60-69,2020-01-01,0,0,0,0
H,NC,70-79,2020-01-01,0,0,0,0
H,NC,80+,2020-01-01,0,0,0,0
HU,H,60-69,2020-01-01,0,0,0,0
HU,H,70-79,2020-01-01,0,0,0,0
HU,H,80+,2020-01-01,0,0,0,0
HU,M,60-69,2020-01-01,0,0,0,0
HU,M,70-79,2020-01-01,0,0,0,0
HU,M,80+,2020-01-01,0,0,0,0
HU,NC,60-69,2020-01-01,0,0,0,0
HU,NC,70-79,2020-01-01,0,0,0,0
HU,NC,80+,2020-01-01,0,0,0,0
J,H,60-69,2020-01-01,0,0,0,0
J,H,70-79,2020-01-01,0,0,0,0
J,H,80+,2020-01-01,0,0,0,0
J,M,60-69,2020-01-01,0,0,0,0
J,M,70-79,2020-01-01,0,0,0,0
J,M,80+,2020-01-01,0,0,0,0
J,NC,60-69,2020-01-01,0,0,0,0
J,NC,70-79,2020-01-01,0,0,0,0
J,NC,80+,2020-01-01,0,0,0,0
L,H,60-69,2020-01-01,0,0,0,0
L,H,70-79,2020-01-01,0,0,0,0
L,H,80+,2020-01-01,0,0,0,0
L,M,60-69,2020-01-01,0,0,0,0
L,M,70-79,2020-01-01,0,0,0,0
L,M,80+,2020-01-01,0,0,0,0
L,NC,60-69,2020-01-01,0,0,0,0
L,NC,70-79,2020-01-01,0,0,0,0
L,NC,80+,2020-01-01,0,0,0,0
LE,H,60-69,2020-01-01,0,0,0,0
LE,H,70-79,2020-01-01,0,0,0,0
LE,H,80+,2020-01-01,0,0,0,0
LE,M,60-69,2020-01-01,0,0,0,0
LE,M,70-79,2020-01-01,0,0,0,0
LE,M,80+,2020-01-01,0,0,0,0
LE,NC,60-69,2020-01-01,0,0,0,0
LE,NC,70-79,2020-01-01,0,0,0,0
LE,NC,80+,2020-01-01,0,0,0,0
LO,H,60-69,2020-01-01,0,0,0,0
LO,H,70-79,2020-01-01,0,0,0,0
LO,H,80+,2020-01-01,0,0,0,0
LO,M,60-69,2020-01-01,0,0,0,0
LO,M,70-79,2020-01-01,0,0,0,0
LO,M,80+,2020-01-01,0,0,0,0
LO,NC,60-69,2020-01-01,0,0,0,0
LO,NC,70-79,2020-01-01,0,0,0,0
LO,NC,80+,2020-01-01,0,0,0,0
LU,H,60-69,2020-01-01,0,0,0,0
LU,H,70-79,2020-01-01,0,0,0,0
LU,H,80+,2020-01-01,0,0,0,0
LU,M,60-69,2020-01-01,0,0,0,0
LU,M,70-79,2020-01-01,0,0,0,0
LU,M,80+,2020-01-01,0,1,0,0
LU,NC,60-69,2020-01-01,0,0,0,0
